time;open;high;low;close;Volume;;;;;
2007-12-07;4979.8408;5041.7778;4977.8682;5041.3501;27198223;;;;;
2007-12-10;4961.6699;5138.6851;4944.8281;5133.562;42780691;;;;;
2007-12-11;5162.0879;5181.4058;5068.0298;5140;40586457;;;;;
2007-12-12;5108.5781;5130.7192;5033.7158;5077.3901;39828251;;;;;
2007-12-13;5051.7842;5067.3901;4881.3398;4884.2979;36819590;;;;;
2007-12-14;4827.3921;4979.1851;4800.2378;4977.6519;30727925;;;;;
2007-12-17;4976.2388;4977.5718;4855.167;4857.2891;37014522;;;;;
2007-12-18;4827.2598;4882.9951;4799.0039;4829.9092;22930076;;;;;
2007-12-19;4877.769;4961.5928;4865.3521;4946.2852;32101858;;;;;
2007-12-20;4968.0308;5048.061;4935.4009;5037.1948;31319917;;;;;
2007-12-21;5016.459;5103.77;5014.7031;5101.8521;37251494;;;;;
2007-12-24;5142.1558;5239.2168;5129.6011;5207.1338;50319967;;;;;
2007-12-25;5217.5581;5244.0308;5180.5869;5216.813;38973705;;;;;
2007-12-26;5231.9692;5273.1392;5194.7451;5265.0259;41468115;;;;;
2007-12-27;5286.98;5367.5298;5260.103;5367.5298;52345018;;;;;
2007-12-28;5379.5181;5391.665;5323.8208;5338.2749;45361415;;;;;
2007-12-31;5338.2749;5338.2749;5338.2749;5338.2749;0;;;;;
2008-01-02;5349.7632;5404.9282;5283.4482;5385.103;45668710;;;;;
2008-01-03;5381.147;5422.6729;5315.9482;5422.0342;64645878;;;;;
2008-01-04;5430.6299;5499.085;5422.4561;5483.6499;51746420;;;;;
2008-01-07;5480.4419;5569.1519;5455.501;5556.5928;53485409;;;;;
2008-01-08;5575.9502;5630.624;5485.2339;5528.0542;64899501;;;;;
2008-01-09;5507.1162;5614.6782;5490.3052;5613.7578;46796872;;;;;
2008-01-10;5631.645;5707.667;5602.5942;5672.1538;64229893;;;;;
2008-01-11;5688.563;5702.5718;5629.6382;5699.147;56167079;;;;;
2008-01-14;5717.5249;5756.9189;5679.2871;5731.7568;49846010;;;;;
2008-01-15;5743.4312;5754.1069;5652.04;5696.4502;50886608;;;;;
2008-01-16;5642.5659;5642.5659;5498.3901;5505.7168;55774469;;;;;
2008-01-17;5445.8032;5533.6499;5226.6392;5365.624;61936933;;;;;
2008-01-18;5358.1831;5419.5698;5307.4961;5414.4678;43913005;;;;;
2008-01-21;5424.6401;5434.3491;5122.4629;5145.7339;47833617;;;;;
2008-01-22;5015.4282;5032.2451;4708.3882;4753.8682;60772692;;;;;
2008-01-23;4787.1709;4976.272;4751.499;4975.1108;55776385;;;;;
2008-01-24;5034.5332;5079.7959;4926.374;5027.2129;56605987;;;;;
2008-01-25;5022.896;5121.4082;4966.519;5077.4292;47142108;;;;;
2008-01-28;5038.5068;5038.5068;4711.2769;4731.8828;41425283;;;;;
2008-01-29;4742.9009;4845.6582;4688.728;4762.083;29062256;;;;;
2008-01-30;4817.1611;4858.1011;4606.144;4710.6519;34098976;;;;;
2008-01-31;4693.6069;4733.6992;4614.2822;4620.4009;30852580;;;;;
2008-02-01;4623.6211;4660.9941;4414.1191;4571.9448;35125528;;;;;
2008-02-04;4695.5459;4951.248;4695.5459;4950.124;40953145;;;;;
2008-02-05;4942.875;4995.5742;4878.1191;4921.8291;32796356;;;;;
2008-02-13;4858.814;4883.2441;4785.7998;4816.084;21475659;;;;;
2008-02-14;4858.8491;4913.3179;4842.8472;4880.252;19837789;;;;;
2008-02-15;4846.0239;4846.0239;4742.1011;4813.311;24262601;;;;;
2008-02-18;4875.2148;4944.8799;4845.3081;4910.9922;30590078;;;;;
2008-02-19;4926.8389;5020.7529;4885.6948;5020.7529;36176965;;;;;
2008-02-20;5032.7769;5062.2612;4901.6611;4908.7168;39557722;;;;;
2008-02-21;4878.5688;4924.4492;4796.0991;4876.0298;33403616;;;;;
2008-02-22;4850.8818;4850.8818;4649.813;4702.2412;37918627;;;;;
2008-02-25;4704.3159;4722.6362;4510.6948;4519.7832;33652001;;;;;
2008-02-26;4637.6001;4668.8311;4394.5942;4515.5332;33276390;;;;;
2008-02-27;4543.0972;4660.4082;4500.8901;4639.7681;29592393;;;;;
2008-02-28;4651.1572;4670.1729;4582.8232;4622.0562;25398171;;;;;
2008-02-29;4616.2402;4683.1592;4597.627;4674.5498;23350858;;;;;
2008-03-03;4648.7349;4803.8999;4611.7002;4790.7441;39258411;;;;;
2008-03-04;4813.4009;4836.6572;4657.3809;4671.1479;45129777;;;;;
2008-03-05;4650.5181;4689.9668;4519.7432;4628.7241;39417993;;;;;
2008-03-06;4645.0688;4746.584;4592.6211;4685.0298;44402268;;;;;
2008-03-07;4641.7549;4693.207;4597.0088;4621.6851;28690945;;;;;
2008-03-10;4588.7651;4588.7651;4406.2319;4431.5889;31780355;;;;;
2008-03-11;4393.2822;4441.1841;4315.1831;4441.1841;26276592;;;;;
2008-03-12;4534.811;4553.3359;4308.3501;4309.6479;27145644;;;;;
2008-03-13;4266.2729;4296.3638;4121.2749;4198.96;34451307;;;;;
2008-03-14;4179.438;4212.4082;4092.791;4157.8711;23427885;;;;;
2008-03-17;4138.877;4138.877;3958.292;3965.2791;28180961;;;;;
2008-03-18;3924.8701;3996.959;3700.3501;3763.948;34523751;;;;;
2008-03-19;3837.603;3954.4661;3776.301;3888.8611;37898477;;;;;
2008-03-20;3833.2051;4044.6919;3658.04;4001.832;46212944;;;;;
2008-03-21;3998.197;4083.1631;3958.967;4037.8301;42615163;;;;;
2008-03-24;4086.0701;4103.5742;3857.0911;3857.0911;35842438;;;;;
2008-03-25;3780.459;3937.6709;3747.019;3905.7739;32245863;;;;;
2008-03-26;3926.864;4001.552;3888.0181;3914.3701;28036763;;;;;
2008-03-27;3847.439;3873.6111;3745.8789;3748.9199;32000668;;;;;
2008-03-28;3712.98;3925.856;3661.3811;3918.156;42096777;;;;;
2008-03-31;3802.2061;3891.6599;3780.1221;3790.53;29440841;;;;;
2008-04-01;3776.2681;3815.157;3566.209;3582.855;35303462;;;;;
2008-04-02;3621.3879;3698.5259;3493.1841;3547.9771;42765884;;;;;
2008-04-03;3518.2229;3665.6509;3457.6169;3650.698;32989493;;;;;
2008-04-07;3611.958;3854.0681;3578.377;3845.822;40484982;;;;;
2008-04-08;3852.011;3935.333;3820.1001;3891.0591;44067922;;;;;
