time;open;high;low;close;Volume;Futures Open Interest;;;;
2013-04-01;2481.2;2512.2;2471.2;2486;686779;62268;;;;
2013-04-02;2490;2529;2467;2488.6;897398;61450;;;;
2013-04-03;2502.2;2515;2474.4;2483.6;779825;61395;;;;
2013-04-08;2450;2478;2435.2;2470.6;657765;65969;;;;
2013-04-09;2473;2511.6;2471;2486.4;823777;60580;;;;
2013-04-10;2485.6;2491.2;2464;2480.2;659770;58702;;;;
2013-04-11;2493.8;2512;2465.4;2470.4;662650;62113;;;;
2013-04-12;2474.4;2482;2454;2459.6;578596;53184;;;;
2013-04-15;2442.8;2463.8;2422.6;2433.8;611821;49788;;;;
2013-04-16;2426.4;2457.6;2417.2;2449.2;675784;42907;;;;
2013-04-17;2457;2459.6;2428.2;2451.4;539176;26707;;;;
2013-04-18;2430;2480;2421.6;2458.6;701296;47534;;;;
2013-04-19;2462;2547.4;2461;2536.8;860653;60597;;;;
2013-04-22;2526.8;2543;2521;2527.8;470977;60817;;;;
2013-04-23;2534.8;2540.8;2440.8;2448.4;683054;55897;;;;
2013-04-24;2459.6;2514.4;2443.6;2488.2;815775;55373;;;;
2013-04-25;2488.2;2507.8;2450.4;2469.8;948447;56743;;;;
2013-04-26;2469.8;2490;2430.6;2444.2;723431;48592;;;;
2013-05-02;2426;2446.6;2415;2435.4;548723;49430;;;;
2013-05-03;2451.6;2521.2;2447.2;2483.8;817425;51681;;;;
2013-05-06;2503.8;2527.8;2492.4;2515.8;704012;52686;;;;
2013-05-07;2509;2531.6;2495;2515.4;664753;52751;;;;
2013-05-08;2533.6;2563;2525.6;2535.8;705759;59097;;;;
2013-05-09;2538;2542;2502.2;2518.8;645378;52911;;;;
2013-05-10;2511.8;2545.6;2508;2532.2;725644;50888;;;;
2013-05-13;2541;2544.8;2505.8;2519.4;594826;43760;;;;
2013-05-14;2516.2;2522.8;2461.6;2479.8;531640;35854;;;;
2013-05-15;2492.8;2497.2;2480.2;2489.8;194885;24512;;;;
2013-05-16;2474.4;2529;2453;2518.2;863420;84886;;;;
2013-05-17;2525;2585.6;2519.2;2575.8;756828;101324;;;;
2013-05-20;2579.2;2617;2574.4;2598.4;696900;99789;;;;
2013-05-21;2593.6;2607;2582.4;2598.4;582493;102812;;;;
2013-05-22;2602;2616.8;2590.6;2599.2;720708;102876;;;;
2013-05-23;2589.6;2613.8;2562;2573.8;809119;101710;;;;
2013-05-24;2583.8;2605;2558.8;2589;849492;95847;;;;
2013-05-27;2578;2602;2572;2579;635012;95491;;;;
2013-05-28;2573.6;2634.8;2565.8;2624.6;812248;100064;;;;
2013-05-29;2638;2656;2623;2631;600387;93685;;;;
2013-05-30;2625.6;2637.2;2612;2628;590059;94193;;;;
2013-05-31;2633.6;2639.4;2588;2602.4;662696;87934;;;;
2013-06-03;2604.4;2620;2589;2595.6;579487;89068;;;;
2013-06-04;2597;2599.8;2550.2;2560.6;670940;87583;;;;
2013-06-05;2564.6;2567.4;2544.2;2553.2;470589;87691;;;;
2013-06-06;2548;2559;2530.4;2535;579967;87686;;;;
2013-06-07;2536.2;2539.6;2467;2477.8;603987;79190;;;;
2013-06-13;2459.4;2459.8;2365.2;2386;569989;72904;;;;
2013-06-14;2394;2409;2386.2;2400.4;448656;62463;;;;
2013-06-17;2406.4;2421;2385.8;2395;513790;52857;;;;
2013-06-18;2406;2414.2;2365.2;2404.8;525066;41914;;;;
2013-06-19;2404;2404;2350.4;2391;400730;27751;;;;
2013-06-20;2365;2368;2306.8;2313.4;619261;78055;;;;
2013-06-21;2291;2315;2263.2;2304;768198;84649;;;;
2013-06-24;2290.2;2291.4;2131;2158;891789;91287;;;;
2013-06-25;2129.8;2147.8;1996;2122;1264711;73401;;;;
2013-06-26;2125;2151;2093.6;2119;954148;69358;;;;
2013-06-27;2134.6;2180;2095;2119.6;1050165;70151;;;;
2013-06-28;2116;2217.8;2098;2144.6;1253068;59806;;;;
2013-07-01;2158;2173.8;2106.8;2162.2;932091;59268;;;;
2013-07-02;2170;2173.4;2133;2160;889217;59207;;;;
2013-07-03;2150.4;2162.6;2109.6;2152.8;936496;60286;;;;
2013-07-04;2140.6;2203;2122.2;2169.2;1118878;61103;;;;
2013-07-05;2180;2205;2170.2;2175.8;881296;62511;;;;
2013-07-08;2145;2165;2104;2130.4;872452;60003;;;;
2013-07-09;2135;2144;2122.8;2133.2;640361;59456;;;;
2013-07-10;2117;2207;2112;2184.4;1026508;62035;;;;
2013-07-11;2215;2360.8;2211;2317.2;1176960;51385;;;;
2013-07-12;2318;2325.6;2255;2270.8;776084;42672;;;;
2013-07-15;2297.6;2342;2266;2290.8;934391;40050;;;;
2013-07-16;2287.6;2311.8;2261.2;2297.8;833735;34210;;;;
2013-07-17;2295.4;2325.8;2275.6;2283;712757;22596;;;;
2013-07-18;2265.2;2268.8;2213;2232.8;746212;43230;;;;
2013-07-19;2236.2;2244.4;2148.8;2166;922230;59882;;;;
2013-07-22;2140;2181.4;2124;2170;852452;59841;;;;
2013-07-23;2171.6;2269.2;2171.6;2238.6;1123777;58776;;;;
2013-07-24;2228.6;2242.8;2171.2;2230.6;980054;58908;;;;
2013-07-25;2227.8;2259.8;2191;2220;1113890;56908;;;;
2013-07-26;2200.8;2218.2;2171.6;2195.4;879735;55903;;;;
2013-07-29;2169;2169.8;2126.4;2143.6;761328;61406;;;;
2013-07-30;2158;2212;2144.2;2165.6;940386;65684;;;;
2013-07-31;2179.8;2224;2162;2170;887075;65439;;;;
2013-08-01;2174;2246;2173.6;2225;1118932;67542;;;;
2013-08-02;2254.8;2271.6;2229.2;2239.4;859756;60364;;;;
2013-08-05;2244.8;2274.4;2228.8;2264.4;833863;64187;;;;
2013-08-06;2261.6;2299;2241.8;2288;887686;64816;;;;
2013-08-07;2272.4;2310;2256.2;2270;970873;61995;;;;
2013-08-08;2270;2296;2254.8;2263.6;844524;60291;;;;
2013-08-09;2272;2297.8;2235.4;2279;985805;55338;;;;
2013-08-12;2294.6;2358.8;2289.4;2347.4;923594;56694;;;;
2013-08-13;2359.6;2362;2338.4;2352.4;607564;39953;;;;
2013-08-14;2359;2389.8;2336;2349;396091;18205;;;;
2013-08-15;2360;2369.4;2318;2329.4;732032;75792;;;;
2013-08-16;2319.8;2408;2283;2302;1220406;81087;;;;
2013-08-19;2283;2348;2275.8;2331.4;893124;84364;;;;
2013-08-20;2325;2358;2298.8;2307.6;905244;85443;;;;
2013-08-21;2321;2329.6;2288.8;2307.2;908202;84422;;;;
2013-08-22;2299.8;2336;2297;2307;853021;88103;;;;
2013-08-23;2323;2328.6;2243.6;2283.8;884883;88383;;;;
2013-08-26;2300.2;2344;2285.2;2337;924234;92353;;;;
2013-08-27;2340;2347;2318.6;2336.2;667709;83662;;;;
2013-08-28;2329.8;2347.8;2288.8;2329.8;934856;82229;;;;
2013-08-29;2333.6;2343.8;2295.6;2314.2;883943;77581;;;;
2013-08-30;2310.2;2328;2290.4;2302.2;909314;77539;;;;
2013-09-02;2316;2329.2;2291.8;2315.2;810715;78931;;;;
2013-09-03;2334.2;2354;2320.8;2348.2;845034;78642;;;;
2013-09-04;2349;2352;2339.4;2345;519443;75542;;;;
2013-09-05;2349;2349.8;2329.2;2340.6;597405;73915;;;;
2013-09-06;2334.2;2359;2330.6;2351.6;691661;73442;;;;
2013-09-09;2363;2447.6;2361.4;2437;867771;75449;;;;
2013-09-10;2437.6;2475.8;2433.4;2459.2;638193;74151;;;;
2013-09-11;2479;2497.6;2467.6;2478;681874;73110;;;;
2013-09-12;2480.8;2525;2471;2510.2;808410;70000;;;;
2013-09-13;2499.2;2512.8;2482;2494;610236;62007;;;;
2013-09-16;2505.8;2509.4;2471;2480.6;600405;47403;;;;
2013-09-17;2475;2479.4;2431.2;2438.6;457781;30464;;;;
2013-09-18;2440.4;2442.6;2409.6;2434.8;175395;13052;;;;
2013-09-23;2438;2483.8;2428;2477.8;741907;76370;;;;
2013-09-24;2470.4;2474;2421.2;2445.6;771533;74656;;;;
2013-09-25;2450;2461.2;2428.4;2435;688034;75385;;;;
2013-09-26;2433;2434.2;2383.4;2392.2;779590;75323;;;;
2013-09-27;2385.2;2403;2380.8;2397.4;563695;68500;;;;
2013-09-30;2396;2424.6;2395;2408.4;476830;65134;;;;
2013-10-08;2401.2;2449;2390.4;2441.4;609153;67580;;;;
2013-10-09;2435;2457.8;2426.6;2445.8;542702;67189;;;;
2013-10-10;2460;2462;2417;2427.4;708396;63468;;;;
2013-10-11;2449;2473.4;2436.2;2466.4;814167;57803;;;;
2013-10-14;2466.4;2478.2;2460.4;2467.8;598659;56124;;;;
2013-10-15;2475;2479.2;2443;2459;564680;50096;;;;
2013-10-16;2458;2459;2410.2;2419.8;653508;41233;;;;
2013-10-17;2432.8;2440.8;2405;2410.6;382250;50337;;;;
2013-10-18;2406;2433;2401.2;2418;663579;62288;;;;
2013-10-21;2421;2474.6;2414;2468;700800;70272;;;;
2013-10-22;2470;2471.4;2433.8;2442;609161;68616;;;;
2013-10-23;2448.2;2475.6;2409.2;2418.8;840645;71744;;;;
2013-10-24;2412.8;2424.8;2395.4;2404.2;740692;74587;;;;
2013-10-25;2405.4;2412.6;2347.2;2358;812595;74187;;;;
2013-10-28;2364.4;2374;2348.6;2364.8;599572;72429;;;;
2013-10-29;2367;2405.8;2328.8;2356;991362;70553;;;;
